record_id,res_ClO2,raw_turb,fin_turb,NH3N,CODMn_raw,CODMn_fin,bacteria,flow,clearwell_ClO2,terminal_dose_logged,year,month,day
160,0.15,10.4,0.21,0.17,2.42,1.37,410.0,1750.0,0.2,,2021,7.0,14.0
161,0.11,8.86,0.22,0.15,2.46,1.45,360.0,3219.0,0.17,,2021,7.0,15.0
162,0.1,6.52,0.2,0.18,2.1,1.26,450.0,1684.0,0.15,,2021,7.0,16.0
163,0.13,6.84,0.25,0.19,2.28,1.36,,1596.0,0.13,,2021,7.0,17.0
164,0.18,10.6,0.23,0.19,2.5,1.57,,1685.0,0.2,,2021,7.0,18.0
165,0.16,13.3,0.27,0.16,2.47,1.5,370.0,3205.0,0.11,,2021,7.0,19.0
166,0.14,11.2,0.23,0.19,2.53,1.34,350.0,3737.0,0.12,,2021,7.0,21.0
167,0.24,11.21,0.25,0.21,1.82,1.37,390.0,3607.0,0.12,,2021,7.0,22.0
168,0.16,8.13,0.19,0.18,1.93,1.3,381.0,3051.0,0.1,,2021,7.0,23.0
169,0.08,7.85,0.2,0.18,2.03,1.38,,3059.0,0.14,,2021,7.0,24.0
170,0.08,7.9,0.21,0.15,2.28,1.44,,3338.0,0.1,,2021,7.0,25.0
171,0.22,7.04,0.29,0.16,2.0,1.28,420.0,2885.0,0.11,,2021,7.0,26.0
172,0.08,8.3,0.28,0.22,2.12,1.32,,2035.0,0.1,,2021,7.0,27.0
173,0.08,7.8,0.19,0.2,2.34,1.37,,1193.0,0.11,,2021,7.0,28.0
174,0.14,12.3,0.19,0.2,2.44,1.4,120.0,1683.0,0.1,,2021,7.0,29.0
175,0.09,14.0,0.19,0.22,2.54,1.46,,1837.0,0.08,,2021,7.0,31.0
176,0.17,17.3,0.23,0.21,2.5,1.44,,1056.0,0.1,,2021,8.0,1.0
177,0.24,8.45,0.22,0.26,2.75,1.21,,4702.0,0.2,,2021,8.0,1.0
178,0.08,9.1,0.22,0.17,2.8,1.44,200.0,1576.0,0.11,,2021,8.0,2.0
179,0.3,3.61,0.21,0.12,3.4,1.35,320.0,3334.0,0.11,,2021,8.0,2.0
180,0.11,6.38,0.22,0.21,2.8,1.68,780.0,1586.0,0.11,,2021,8.0,3.0
181,0.04,7.86,0.22,0.15,3.06,1.38,,1560.0,0.09,,2021,8.0,3.0
182,0.15,8.43,0.18,0.16,2.69,1.5,420.0,4863.0,0.28,,2021,8.0,4.0
183,0.18,11.9,0.2,0.3,2.8,1.44,441.0,2807.0,0.27,,2021,8.0,5.0
184,0.2,11.5,0.3,0.22,2.76,1.48,,3440.0,0.24,,2021,8.0,6.0
185,0.22,11.81,0.28,0.23,2.81,1.52,,3558.0,0.12,,2021,8.0,7.0
186,0.1,8.09,0.21,0.2,2.64,1.44,180.0,4927.0,0.21,,2021,8.0,9.0
187,0.12,10.1,0.3,0.2,2.72,1.44,480.0,5051.0,0.27,,2021,8.0,11.0
188,0.26,11.3,0.22,0.21,2.76,1.44,580.0,5009.0,0.23,,2021,8.0,12.0
189,0.2,14.8,0.25,0.17,2.8,1.6,510.0,4924.0,0.21,,2021,8.0,13.0
190,0.27,16.3,0.17,0.18,2.77,1.54,,4935.0,0.13,,2021,8.0,14.0
191,0.28,14.5,0.2,0.21,2.8,1.6,,4952.0,0.12,,2021,8.0,15.0
192,0.17,12.3,0.24,0.15,2.64,1.27,460.0,5066.0,0.12,,2021,8.0,16.0
193,0.22,11.3,0.28,0.13,2.59,1.3,,5073.0,0.13,,2021,8.0,17.0
194,0.18,10.9,0.26,0.17,2.68,1.4,570.0,5038.0,0.13,,2021,8.0,18.0
195,0.16,10.7,0.38,0.22,2.88,1.6,,5072.0,0.11,,2021,8.0,19.0
196,0.06,2.27,0.17,0.16,3.41,1.34,,3677.0,0.11,,2021,8.0,22.0
197,0.12,9.29,0.3,0.16,4.16,2.28,810.0,3668.0,0.13,,2021,8.0,23.0
198,0.08,5.85,0.18,0.23,3.72,1.63,,3741.0,0.13,,2021,8.0,24.0
199,0.07,8.83,0.35,0.23,3.35,1.53,800.0,3726.0,0.17,,2021,8.0,25.0
200,0.06,2.53,0.26,0.22,2.48,1.52,720.0,3717.0,0.15,,2021,8.0,26.0
201,0.29,9.42,0.26,0.22,2.36,1.88,,3786.0,0.12,,2021,8.0,27.0
202,0.08,7.75,0.31,0.21,2.44,1.76,,3704.0,0.12,,2021,8.0,28.0
203,0.14,8.97,0.22,0.16,3.6,1.44,,1378.0,0.11,,2021,8.0,31.0
204,0.13,11.7,0.27,0.17,2.92,1.52,680.0,3502.0,0.18,,2021,9.0,1.0
205,0.28,11.0,0.22,0.2,3.64,1.76,,4951.0,0.19,,2021,9.0,1.0
206,0.18,10.5,0.19,0.17,2.84,1.48,720.0,3851.0,0.16,,2021,9.0,2.0
207,0.17,9.66,0.2,0.17,3.2,1.8,710.0,3832.0,0.23,,2021,9.0,3.0
208,0.08,8.27,0.23,0.2,4.44,1.62,380.0,2252.0,0.12,,2021,9.0,3.0
209,0.3,7.94,0.21,0.19,3.14,1.7,,1403.0,0.12,,2021,9.0,4.0
210,0.1,15.4,0.21,0.15,3.2,1.68,,1898.0,0.11,,2021,9.0,5.0
211,0.05,6.14,0.25,0.15,3.84,1.79,690.0,1677.0,0.19,,2021,9.0,6.0
212,0.07,6.85,0.3,0.22,3.76,1.68,,2111.0,0.17,,2021,9.0,7.0
213,0.13,7.33,0.21,0.19,3.84,1.76,650.0,1976.0,0.11,,2021,9.0,8.0
214,0.1,8.07,0.17,0.19,3.72,1.68,,3799.0,0.15,,2021,9.0,9.0
215,0.06,9.2,0.23,0.19,3.64,1.76,,3797.0,0.12,,2021,9.0,11.0
216,0.21,2.82,0.19,0.19,3.01,1.66,780.0,3236.0,0.17,,2021,9.0,13.0
217,0.39,5.77,0.24,0.16,3.48,1.76,,4902.0,0.14,,2021,9.0,14.0
218,0.25,9.79,0.18,0.23,3.4,1.88,550.0,4037.0,0.18,,2021,9.0,15.0
219,0.17,9.63,0.21,0.18,3.56,1.66,156.0,5235.0,0.22,,2021,9.0,16.0
220,0.16,10.9,0.16,0.26,4.52,1.74,200.0,5024.0,0.1,,2021,9.0,17.0
221,0.09,7.7,0.13,0.22,4.64,1.84,,2033.0,0.12,,2021,9.0,18.0
222,0.07,7.9,0.15,0.25,4.48,1.76,,4130.0,0.11,,2021,9.0,19.0
223,0.1,14.3,0.23,0.16,4.4,2.04,,3431.0,0.13,,2021,9.0,22.0
224,0.06,11.2,0.17,0.17,5.2,2.16,212.0,2130.0,0.13,,2021,9.0,23.0
225,0.05,10.1,0.21,0.19,3.28,1.52,180.0,2167.0,0.12,,2021,9.0,24.0
226,0.07,11.8,0.19,0.18,3.53,1.58,,3962.0,0.16,,2021,9.0,25.0
227,0.08,12.1,0.22,0.17,3.64,1.78,,3985.0,0.14,,2021,9.0,26.0
228,0.1,7.24,0.17,0.17,3.8,1.34,,3963.0,0.12,,2021,9.0,27.0
229,0.15,7.55,0.22,0.19,4.05,1.44,,4021.0,0.12,,2021,9.0,28.0
230,0.11,16.4,0.38,0.11,5.07,2.06,150.0,5027.0,0.16,,2021,10.0,2.0
231,0.09,9.6,0.31,0.15,4.28,1.68,,3937.0,0.12,,2021,10.0,2.0
